I'm at 広島広域公園 補助競技場 http://t.co/1GTQldUaOD
家族連れとかいて夏休み感ある
サンチェくんのゲーフラ即売会で青ちゃんサインいりゲーフラゲット！
これからサンチェくんってよぶ
ゲーフラ即売会でしゃべったチャジサポさんに伊勢海老パイ渡したんだけど(余分に買ってきてた)割れてなかったらいいな…。
I'm at アストラムライン 広域公園前駅 (Koiki-koen-mae Sta.) in 広島市, 広島県 http://t.co/Nb929QP88P
そうか今日は金曜日(有給取ったから金曜感ない)
練習見学楽しすぎた
I'm at アストラムライン 本通駅 (Hondori Sta.) in 広島市, 広島県 http://t.co/ZFPYg79OAa
I'm at SANFRECCE V-POINT in 広島市, 広島県 w/ @k00ta https://t.co/BFHjBcLoF3
I'm at 鉄板焼き さんちぇ in 広島市,広島県 w/ @k00ta http://t.co/2C0DLaYAiw
さんちぇどこ見てもたのしい
バッドランズのある辺り歩いてる、懐かしい…(実は一度ライブしたことあります)
at the toyoko-innしてる
@layheofon おやすみ
18個目にしてようやく勝利した図 http://t.co/HEkktcLewP
@K00TA こちらこそありがとうございました！明日もよろしくお願いしますー！
サンチェさまの即売会で購入したゲーフラ http://t.co/JDoe8qLGIA
帰ったら部屋に貼ります
比べた…？
@layheofon おやすめ
えばんげりおんはちゃんと見たことないので録画予約してきました
サンフレ最初に見に行ったときの同行者が、サンフレ選手を使徒みたいな色してるって言ってたけどよくわからなかった
@layheofon 寝ちゃだめなんです？
@layheofon おやたいへん がんばってください…
起きたら1時20分で千葉子の部屋を見逃しましたつらい
もりもりホテルの朝食たべた
@yaehiduki おはー
チェックアウトぎりぎりまでごろろんとしている予定です
本日のガチャ4回目で勝利しました http://t.co/fxisDOJ3pa
タッチペンガチャ18回回しても当たりひとつもでなかったことを考えるとほしい選手の当たりを引くにはガチャ1回空にしても足りないだろうからさすがにそこまではやらない…あたりにそこまでの魅力があればやるかもしれないが
あつい…
カードフェスタガチ勢なので列に場所だけとった
あかりふぁのタオル被ってる人いてガン見してしまった…！
RT @09daichi: 今日のEスタは半旗です。土砂災害があった同じ広島市安佐南区でのJリーグ開催です。様々な想いが交錯しますが、自分の仕事をしっかりやろうと思います。 #sanfrecce http://t.co/8XdDzh2ZbT
営業始めるブースが増えてきた
青ちゃん広告パネルの隣(というか斜め後ろ)に座ってたらまわりで写真撮り始めた人いて全力で顔伏せてた
6BOXって言ってる人いたからわたしの2BOXなど足元にも及ばなかったわ
@K00TA チケット販売所裏でカード開封作業してます
なんかもやもやもやする試合だったので新潟戦来ようと思います
徳島戦いけばよかったかな…。
戦術とかよくわからんしできること応援しかないのよ
あとグッズかって投資な
セレッソの応援、いっこすごく気になるのがあった…。
@sHoRuI_KF ですねー。期待しております皆川くん。
相手のシュートが入らないことに救われた試合だったよなー、と、よくわからんなりに考えている
ちゃじさんみなくんの組み合わせいいと思うのでちゃじさんのリーグ戦デビューが待たれるのよなあ…。前日練習で二人組になるボール回しやストレッチ一緒にやってて、やっぱり仲良しだなと思いながら見てた…。
@sHoRuI_KF 気づけばサンフレにどっぷり浸かってましたww
@layheofon おはよーございます
家に帰ったらサンフレトレカを並べ直すお仕事が待ってる
@layheofon 夜行バスで大阪ついて、そっから帰ってるところですよ…。
@layheofon あっ、もしよければなんですけど来月の19日泊めてくださったりはしませんか…。
トレカをスリーブに入れたいんだがスリーブってどこで売ってるんだろ…エディオンで見かけてはいたから買っておけばよかった。
@layheofon ありがとうございまっす！とはいえまだ有給とってないのでw確定したら連絡しますー
帰宅 昼まで寝る
@layheofon おやす
@layheofon ゆめのなかへー ゆめのなかへー いってみたいとおもいませんかーー
昨日きになったセレッソのチャント、ECSTASY OSAKAってやつだった…合いの手入れたさある…と思ってたけど歌詞には(オイ！)って書いてあった
セーレーッソ！オーオーサカ！って聞こえるの愉快だった
@K00TA ですねー。 あ、カード整理してたら千葉ちゃん被ってたのですが、こーたさん千葉ちゃん持ってましたっけ？？
@K00TA ではガンバ大阪戦に持っていきます！！
サンフレトレカ整理完了した 2箱買ったらレギュラーカードは揃ったけどタフスタッフカードは6/10で揃わず。 http://t.co/mr4GkqzVj1
やべっちFCも終わったし予約炊飯もしたし寝よう…
甲子園決勝っていつあるの
@layheofon 有給確保したので来月19日ひろしまいきまっす！
