三浦翔平かっこよ過ぎる(≧∇≦) 見るたびにやけてしまうぜ！！
あー…仕事行きたくないな(*_*)
どっか遠く行きたい(∋_∈)  何も考えたくなーい＼(+×+)／
明日が嫌すぎて胃が痛い...(;_;)
@kimumika25  いえいえ(*^^*)こちらこそよろしくお願いします☆！
まじむかつく(`ヘ´) イライラが止まらない。
明日仕事だー… やだな行きたくない(;_;)辞めたい気持ちがより一層高まっていく(*_*)
@kimumika25  ちょっと色々ありまして…(*_*) 心配してくださってありがとうございます(;_;)
今日もダメダメだったな(;_;) 明日は休みだー(^O^) 何しようかな…
よし！ミネストローネ作るぞっ(☆o☆)
寒い。部屋4℃やー
鈴子の恋やましげさん出てたーあのキャラ好きだ(≧∇≦) やましげさんみたいな人いないかやー(^O^)
RT @CopyPaste_bot: オシャレっぽいスパゲッティ屋に行ったらこれが変な名前のメニュー満載 店員の子に「も、森の妖精のスパゲッティで…」と羞恥心にまみれて注文したら 「はい、キノコスパですね」と復唱された おい、お前もちゃんと言え。こっちが恥ずかしさに堪えて ...
明日からまた仕事だ… ほんと行きたくないよー(&gt;_&lt;) 宝くじ当たんないかな󾭚
今日も1日終わた(*_*) 明日は早番だ…。 あーやだ(∋_∈)
朝ものすごい雪降ってたのに今じゃ晴天(*_*)
恋愛ニートおもしろいなぁ(^w^)きゅんきゅんや＊あーあたしも恋愛ニートだな…。
頭痛い(*_*) 肩こりやばい； まじでマッサージいこうかな…
RT @matayoshi0: 朝から大阪の劇場で出番。その後、次の劇場へ移動するため相方と一緒に二人でタクシーに乗り込みドアを閉めた。その直後、運転手さんが『お一人でよろしいですか？』と相方に質問していた。完全に僕が見えていなかった。もはや影が薄いとかじゃなく透明人間の ...
眠い(∋_∈) 2連休後の仕事は余計に行くのやだくなる…。 あはーん行きたくないよ～󾭚
嵐の新曲好きだー(^O^) 元気もらえる！！
あー仕事ほんとにやだ…(*_*) 今日も怒られたし󾀅 どっか遠く行きたい...
ぎゃーまじ三浦翔平かっこよすぎ(≧ε≦) あんなことされてみたいー󾌧
@shokotannnnn  こちらこそありがとうございます(*^^*) ほんとですか(;_;)! 仕事が毎日憂鬱で仕方ないです(∋_∈)
@shokotannnnn  栄養士です󾀅とは言っても調理員みたいなものなんですが(*_*) 何のお仕事されてるんですか？
@shokotannnnn  はい(*_*)自分が出来なさ過ぎて情けないです󾀅 アパレルですかぁ＊すごいですね󾭠
@shokotannnnn  そうですよね(*_*) ありがとうございます(&gt;_&lt;)！ そうなんですね󾬬 新しい仕事先はもう決まってるんですか？
仕事やだー(*_*) 明日早番だ...明後日も早番…。あーほんとに仕事向いてない気がする；
@voyage0804  そうなんですね＊栄養士大変ですよね(*_*)どこで働いてるんですか？
@voyage0804  保育園で働いてるんですね󾬬じゃ献立とかもたてたりしてるんですか？＊
@voyage0804  そうなんですね󾬬 主に調理とかをやってるんですか？＊
あーほんと自分ってコミュニケーション能力がない…。どう治したら良いか分かんない(*_*) てかその勇気が振り絞れない；
@voyage0804  私もそんな感じです＊ 栄養士になんかならなきゃ良かったとか最近思っちゃいます(*_*)
明日は休みー＼(^ー^)／ でも予定なし…。 なにしましょう(⌒～⌒)
RT @tyu_hi: 仕事辞めたいポイントが10,000ポイント貯まったからブックオフの300円クーポンと交換した
見てくるの忘れたー(∋_∈) 最悪(;_;)
まじで三浦翔平かっこよすぎる(≧ε≦) うひょうひゃ(≧∇≦)
こたつで寝ちまったp(´⌒｀q) お風呂入んなきゃだけどこたつから出れない…；
明日早番だー…まじやだ(;_;) 本気でこの仕事続けてく自信がない... どうしたらいいんだろ󾀅 簡単に辞められたら良いのに…。
なんか右目だけ痛いってか変な感じ(ノ△Ｔ)なんでだろ…
永山絢斗かっこいいー！ 声いいわぁ(*´ω｀*)
まじで目痛いし頭痛いし鼻もおかしい(*_*)
@shokotannnnn  良いですよね(≧∇≦) 分かります(^O^) 俺にしなよなんて言われたら即ＯＫしちゃいます(☆o☆)（笑
@shokotannnnn  やばいですよね！！ 恋愛ニート見る度きゅんきゅんしまくりです(*^^*)
@shokotannnnn  ですよね！！ てか切実に彼氏ほしいです；（笑
@shokotannnnn  了解しやした☆じゃタメで(^O^) ほしいよねー！！私も恋愛ニートになりそう(∋_∈)（笑
@shokotannnnn  むしろあたしは恋愛ニートじゃなくて干物女かも(´⌒｀)（笑
@shokotannnnn  そうそう！だから潤さないと…(ノ△Ｔ)（笑
日曜休みなの嬉しいけど暇人だー(∋_∈) なにしよう…誰か遊んでください…。
@shokotannnnn  だよね(⌒～⌒)良い人いないかしら(T_T)（笑  なんでしょうか？！（笑
@shokotannnnn  それあたしも気になってやした(^O^)（笑 21歳の長野県に住んでるよ～(*^^*)名前はあすかだけど呼び方はなんでもＯＫだよう☆ そのままそっくり質問して良いですか？（笑
@shokotannnnn  そうだねー…あっちゃんが良いな(^O^)（笑 じゃしょこたんと呼ばせて頂こうかなっ＊（笑  埼玉に住んでるのかぁ☆ 良いなぁ～！！
@shokotannnnn  うんうん(*´ω｀*) 東京に近いし色々あるしうらやましいよ～(⌒～⌒) うん＊上の方だったかな！ 長野県遊べるとこがあんまないから嫌だー(ノ△Ｔ)（笑
@shokotannnnn  東京よく遊びに行ったりするの～？＊ 長野ぜひ遊びに来てくれい～山ばっかだけど(≧ヘ≦)（笑
@shokotannnnn  良いなぁ～行きたいなぁ(*^^*)どこら辺よく行くのー？☆  確かに＊写真撮りたくなるよね～(^O^) 自然は癒されるよね*！
@shokotannnnn  そうなんかぁ＊原宿いいよねぇ(≧∇≦) 東京はお店いっぱいあるからうらやまし～(^O^)  だよね＊疲れてるときには最適だ(*´ω｀*)
@shokotannnnn  分かる！！おしゃれなとこいっぱいあるし☆  癒されるよね＊ 富士急楽しかった～？(^O^)
@shokotannnnn  だよね(^O^)服安いし＊゜ そっかぁ☆ やっぱまだまだ寒いよね(T_T) 早く春になってほしいなぁ(&gt;_&lt;)花粉はやだけど；（笑
@shokotannnnn  だよね(≧∇≦)東京だったら1日居ても飽きないなっ(^O^) だよね；しょこたんは花粉症～？
眠い(T_T)出かけようと思ったけど準備がめんどくさい(-_-#)
@shokotannnnn  滅多に行かないけど東京にいる友達に会いに行ったりするよー(^O^) そっかぁ；あたしも花粉症だからやばい(&gt;_&lt;)
@shokotannnnn  ぜひ会いに行くよ～(*^^*)（笑 だよね(⌒～⌒)鼻も目もやばいし(;_;)
@shokotannnnn  楽しみだーい(≧∇≦)  そっかぁ； あたしは目もやばくてしんどい(;_;)
@shokotannnnn  だね(*^^*) かゆいし何か涙でてくる(∋_∈)（笑
@shokotannnnn  うん(ρ＿；)目薬が必需品だわ(+×+) 話変わるけどしょこたんは芸能人で誰が好きなのー？＊
仕事やだなー(ノ△Ｔ) 火曜日休みの人良いなあ(｀ε´)
@shokotannnnn  あたしも三浦翔平くん好きー(≧ε≦)あの笑顔がやばいのなんの（笑 吉高由里子かわいいよね＊(^O^)
Ehyphenでget!!* http://t.co/DMnP8x40
@shokotannnnn  他には藤原竜也とかオードリーの若林が好きだよ＊女性では安室ちゃんとか香里奈が好き～(*^^*)
@shokotannnnn  かわいいよね！！！癒される(*^^*) しずるの村上さんかっこいいよねっ(^O^)＊
明日も仕事かぁー…。(´⌒｀)
@shokotannnnn  かわいいよねっ(≧∇≦) しょこたんは音楽はどんなの聴くの～？♪
@shokotannnnn  そうなのかぁ☆RADWIMPSあんまり聴いたことないけど05410？好きだよ(*^^*)
@shokotannnnn  そこの歌詞好き～(^O^)（笑 RADWIMPSで他におすすめな曲ってなに～？＊ 色々聴くけどいきものがかりとか加藤ミリヤとかflumpoolとか好きだよー(o^∀^o)
@shokotannnnn  なるほどなるほど(｀∇´ゞ 今度聴いてみやす♪☆！ まじかぁ(^O^)
RT @mosas_bland: 夢を見るのはストレスが溜まってるから。カラーで、起きたとき記憶に残っている→めっちゃ溜まってる。カラーで、覚えてない→普通に溜まってる。白黒で、覚えてる→ちょっと溜まってる #有益なことをつぶやこう 　らしいよ
@shokotannnnn  AitaiとLALALA良い曲だよね(≧∇≦) Aitaiとか切なくて良い(*^^*)
あすかに彼氏ができた　身長「166cm」　年齢「26歳」　性格、特徴「博識」　容姿など「ヒゲが似合うイケメン」です。おめでとう！ http://t.co/ZroJGse8
